, Protocol, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Inbound, Label
556,17,2,2,0,2944.0,0.0,1,7
650,17,34376,200,0,88000.0,0.0,1,1
607,6,653,4,0,123.0,0.0,0,0
692,17,1,2,0,738.0,0.0,1,3
138,17,2,2,0,2944.0,0.0,1,7
889,17,20674,2,2,74.0,186.0,0,0
728,17,1,2,0,458.0,0.0,1,6
486,17,1,2,0,826.0,0.0,1,4
960,17,2,2,0,866.0,0.0,1,4
863,6,28063,1,1,0.0,0.0,0,0
244,17,1,2,0,1348.0,0.0,1,4
672,17,1,2,0,458.0,0.0,1,6
411,6,97819513,16,2,0.0,0.0,1,2
960,17,2,2,0,1040.0,0.0,0,1
487,6,117995404,20,4,0.0,0.0,1,2
638,17,49,2,0,750.0,0.0,1,3
236,17,3,2,0,2944.0,0.0,1,7
555,17,23449,4,0,1760.0,0.0,1,1
36,17,20729,2,2,88.0,120.0,0,0
238,6,110522972,94,133,11872.0,12286.0,0,0
984,17,2,2,0,2944.0,0.0,1,7
605,6,385,5,0,154.0,0.0,0,0
641,6,2,1,3,0.0,0.0,1,0
118,17,1,2,0,802.0,0.0,1,3
579,17,1,2,0,818.0,0.0,1,4
848,6,5004505,8,7,1200.0,2146.0,1,5
641,17,1,2,0,458.0,0.0,1,6
577,6,86477339,10,0,0.0,0.0,1,2
603,17,1,2,0,458.0,0.0,1,6
436,6,10626961,5,2,0.0,0.0,1,1
84,17,48,2,0,422.0,0.0,1,6
47,6,1,2,0,0.0,0.0,1,2
484,17,1,2,0,854.0,0.0,1,4
448,17,1,2,0,2846.0,0.0,1,7
638,6,5,3,0,2144.0,0.0,0,5
548,17,0,2,0,802.0,0.0,1,3
762,17,2,2,0,2944.0,0.0,1,7
414,17,108956,4,0,1438.0,0.0,1,3
600,6,5897101,12,9,1742.0,4290.0,1,5
480,6,378557,7,4,104.0,0.0,1,5
602,6,105763418,18,2,0.0,0.0,1,2
674,6,1,2,0,0.0,0.0,1,2
191,17,1,2,0,458.0,0.0,1,6
700,17,110898,4,0,1446.0,0.0,1,3
221,17,2,2,0,2944.0,0.0,1,7
589,17,2,2,0,2944.0,0.0,1,7
82,6,1,2,0,0.0,0.0,1,2
943,17,1,2,0,458.0,0.0,1,6
70,17,1,2,0,786.0,0.0,1,3
524,17,2,2,0,2944.0,0.0,1,7
658,17,2,2,0,458.0,0.0,1,6
655,17,20653,2,2,86.0,142.0,0,0
51,17,1,2,0,750.0,0.0,1,3
644,17,2,2,0,2800.0,0.0,1,7
201,17,1,2,0,458.0,0.0,1,6
787,17,2,2,0,2944.0,0.0,1,7
582,6,178,6,2,62.0,0.0,1,0
614,17,1,2,0,458.0,0.0,1,6
915,17,20620,2,2,88.0,144.0,0,0
131,17,2,2,0,2944.0,0.0,1,7
986,17,20583,2,2,80.0,112.0,0,0
623,6,112234176,14,0,0.0,0.0,1,2
863,6,178,1,2,0.0,0.0,0,5
325,17,48,2,0,852.0,0.0,1,4
670,17,1,2,0,1108.0,0.0,1,4
301,17,108715,4,0,1398.0,0.0,1,3
502,17,1,2,0,458.0,0.0,1,6
255,17,1,2,0,1032.0,0.0,1,4
337,6,99006317,12,2,0.0,0.0,1,2
294,17,217016,6,0,2178.0,0.0,1,3
839,17,1,2,0,458.0,0.0,1,6
815,17,20536,2,2,76.0,188.0,0,0
567,17,109833,4,0,1446.0,0.0,1,3
491,17,45,2,0,730.0,0.0,1,3
957,6,4,4,0,0.0,0.0,1,1
292,17,2,2,0,2724.0,0.0,1,7
256,6,149,1,1,0.0,0.0,0,5
816,17,47,2,0,928.0,0.0,1,4
519,17,44,2,0,2770.0,0.0,1,7
702,17,29502,200,0,88000.0,0.0,1,1
299,6,177,1,1,0.0,0.0,1,5
269,17,1,2,0,458.0,0.0,1,6
331,6,1,2,0,0.0,0.0,1,2
242,17,35698,200,0,88000.0,0.0,1,1
395,17,46,2,0,458.0,0.0,1,6
860,17,1,2,0,750.0,0.0,1,3
45,17,1,2,0,2944.0,0.0,1,4
601,6,5511302,12,9,1730.0,4290.0,1,5
165,6,110404854,57,63,35502.0,11384.0,0,0
787,17,20703,2,2,180.0,212.0,0,0
247,17,46662,2,2,88.0,120.0,0,0
262,17,3,2,0,840.0,0.0,1,5
471,17,2,2,0,2736.0,0.0,1,7
547,6,118582342,16,2,0.0,0.0,1,2
749,17,3,2,0,2736.0,0.0,1,7
774,6,40290127,18,16,880.0,2820.0,0,0
782,17,108887,4,0,1398.0,0.0,1,3
612,17,1,2,0,1272.0,0.0,1,4
232,6,107298128,20,6,0.0,0.0,1,2
930,17,1,2,0,458.0,0.0,1,6
871,17,4,2,0,2944.0,0.0,1,1
94,17,3,2,0,2944.0,0.0,1,7
172,6,128,1,2,0.0,0.0,1,5
38,17,70290,200,0,88000.0,0.0,1,1
404,17,3,2,0,2944.0,0.0,1,7
290,17,1,2,0,458.0,0.0,1,6
413,6,64202,1,1,0.0,0.0,0,0
721,6,31484994,6,4,0.0,0.0,1,5
316,17,0,2,0,778.0,0.0,1,3
459,17,2,2,0,458.0,0.0,1,6
897,6,1,2,0,0.0,0.0,1,2
676,17,150628,200,0,88000.0,0.0,1,1
784,17,109897,4,0,1446.0,0.0,1,3
699,17,1,2,0,458.0,0.0,1,6
295,6,208,1,1,0.0,0.0,1,5
998,17,3,2,0,880.0,0.0,0,1
272,17,1,2,0,872.0,0.0,1,4
989,17,49,2,0,840.0,0.0,1,4
375,6,119979791,20,2,0.0,0.0,1,2
644,6,104650868,10,2,0.0,0.0,1,2
931,17,2,2,0,2944.0,0.0,1,7
39,17,1,2,0,944.0,0.0,1,4
437,17,2,2,0,2944.0,0.0,1,7
115,17,20659,2,2,86.0,118.0,0,0
152,6,117,1,2,0.0,0.0,0,5
263,17,2,2,0,786.0,0.0,1,3
138,17,1,2,0,458.0,0.0,1,6
46,17,106461,4,0,1438.0,0.0,1,3
764,6,4362420,9,6,1192.0,2146.0,1,5
863,6,1,2,0,0.0,0.0,1,2
232,17,1,2,0,1354.0,0.0,1,4
865,17,2,2,0,2928.0,0.0,1,7
76,17,95793,200,0,88000.0,0.0,1,1
391,6,112487323,16,0,0.0,0.0,1,2
416,6,377417,1,2,0.0,0.0,0,5
751,17,2,2,0,2944.0,0.0,1,7
296,17,2,2,0,2736.0,0.0,1,7
794,17,59987,200,0,88000.0,0.0,1,1
487,17,1,2,0,766.0,0.0,1,3
822,6,1,2,0,0.0,0.0,1,2
286,17,3,2,0,2944.0,0.0,1,7
183,17,1,2,0,750.0,0.0,1,3
947,17,1,2,0,786.0,0.0,1,3
83,17,45116,200,0,88000.0,0.0,1,1
290,17,1,2,0,778.0,0.0,1,3
230,17,1,2,0,786.0,0.0,1,3
218,6,116023522,14,2,0.0,0.0,1,2
237,17,1,2,0,1174.0,0.0,1,4
396,17,38398,200,0,88000.0,0.0,1,1
145,17,20656,2,2,82.0,114.0,0,0
49,6,211,1,1,0.0,0.0,0,5
976,6,1,2,0,0.0,0.0,1,2
828,17,2,2,0,2944.0,0.0,1,1
448,17,1,2,0,458.0,0.0,1,6
164,17,20636,2,2,76.0,188.0,0,0
567,17,1,2,0,854.0,0.0,1,4
573,17,61863,200,0,88000.0,0.0,1,1
936,17,3,2,0,2944.0,0.0,1,1
342,17,96743,200,0,88000.0,0.0,1,1
122,17,83473,200,0,88000.0,0.0,1,1
540,17,2,2,0,2928.0,0.0,1,7
656,17,1,2,0,2718.0,0.0,1,7
631,17,1,2,0,802.0,0.0,1,3
412,17,109207,4,0,1446.0,0.0,1,3
49,6,1,2,0,0.0,0.0,1,2
925,17,2,2,0,2944.0,0.0,1,7
907,6,10256680,5,2,0.0,0.0,1,5
316,6,1,2,0,0.0,0.0,1,2
597,17,1,2,0,926.0,0.0,1,4
767,6,103,1,2,0.0,0.0,0,5
371,17,2,2,0,2944.0,0.0,1,7
31,17,1,2,0,458.0,0.0,1,6
14,17,39033,200,0,88000.0,0.0,1,1
812,17,549257,12,0,4404.0,0.0,1,3
932,6,1,2,0,0.0,0.0,1,2
621,17,108732,4,0,1398.0,0.0,1,3
595,17,1,2,0,880.0,0.0,0,1
737,17,1,2,0,458.0,0.0,1,6
452,6,10079663,5,2,0.0,0.0,1,1
887,17,3,2,0,2944.0,0.0,1,1
157,17,1,2,0,750.0,0.0,1,3
593,17,1,2,0,458.0,0.0,1,6
475,6,177,1,2,0.0,0.0,1,0
554,6,1,2,0,0.0,0.0,1,2
468,6,32403,1,1,0.0,0.0,0,0
399,17,37245,200,0,88000.0,0.0,1,1
906,17,68094,198,0,87120.0,0.0,1,1
288,6,1,2,0,0.0,0.0,1,2
802,6,112164784,12,6,307.0,184.0,0,0
919,17,1,2,0,1094.0,0.0,1,4
944,17,105961,4,0,1438.0,0.0,1,3
16,6,48,2,0,0.0,0.0,1,2
36,17,29172,200,0,88000.0,0.0,1,1
2,17,1,2,0,2604.0,0.0,1,7
934,17,2,2,0,2944.0,0.0,1,1
649,17,1,2,0,1170.0,0.0,1,4
983,17,2,2,0,2944.0,0.0,1,7
667,6,36864108,2,0,1952.0,0.0,0,5
328,17,2,2,0,2944.0,0.0,1,7
884,17,3,2,0,2944.0,0.0,1,1
414,6,216,1,2,0.0,0.0,1,0
535,17,212381,6,0,2088.0,0.0,1,3
724,6,4484984,9,6,1158.0,2146.0,1,5
775,17,20698,2,2,70.0,102.0,0,0
416,17,30803,200,0,88000.0,0.0,1,1
961,17,220015,6,0,2204.0,0.0,1,3
719,17,1,2,0,814.0,0.0,1,4
574,17,1,2,0,1068.0,0.0,1,4
437,17,0,2,0,458.0,0.0,1,6
156,6,1,2,0,0.0,0.0,1,2
220,6,156,1,2,0.0,0.0,1,5
485,17,47904,200,0,88000.0,0.0,1,1
124,17,214711,6,0,2088.0,0.0,1,3
14,6,128,1,2,0.0,0.0,1,5
815,17,1,2,0,1058.0,0.0,1,4
688,6,1,2,0,0.0,0.0,1,2
962,17,45,2,0,750.0,0.0,1,3
923,17,2,2,0,2944.0,0.0,1,7
956,6,1,2,0,1072.0,0.0,0,1
709,6,66,1,2,0.0,0.0,0,5
967,6,119473122,16,2,0.0,0.0,1,2
138,17,1,2,0,1320.0,0.0,1,4
954,17,1,2,0,944.0,0.0,1,4
871,6,214912,1,2,0.0,0.0,0,5
684,17,45,2,0,926.0,0.0,1,4
898,6,111242399,12,0,0.0,0.0,1,2
176,17,3,2,0,2816.0,0.0,1,7
549,17,1,2,0,422.0,0.0,1,6
797,6,158,1,1,0.0,0.0,0,5
997,17,1,2,0,458.0,0.0,1,6
166,6,2,2,0,0.0,0.0,1,2
872,6,114881823,20,4,0.0,0.0,1,2
200,6,3977731,21,24,1426.0,2834.0,1,5
186,17,1,2,0,458.0,0.0,1,6
746,17,20624,2,2,56.0,120.0,0,0
862,17,1,2,0,802.0,0.0,1,3
214,17,2,2,0,2944.0,0.0,1,7
148,6,6365669,12,9,1982.0,4290.0,1,5
721,6,85,2,2,0.0,0.0,1,1
626,17,2,2,0,2816.0,0.0,1,7
2,17,48549,200,0,88000.0,0.0,1,1
604,6,109,1,2,0.0,0.0,1,5
677,17,1,2,0,892.0,0.0,1,4
347,17,1,2,0,786.0,0.0,1,3
234,17,1,2,0,458.0,0.0,1,6
839,17,1,2,0,778.0,0.0,1,3
754,17,49,2,0,458.0,0.0,1,6
551,6,3,3,0,0.0,0.0,1,0
427,17,1,2,0,836.0,0.0,1,4
825,17,1,2,0,422.0,0.0,1,6
656,17,49,2,0,458.0,0.0,1,6
611,17,1,2,0,802.0,0.0,1,3
204,17,48,2,0,458.0,0.0,1,6
895,17,2,2,0,2944.0,0.0,1,7
361,17,45919,2,2,62.0,94.0,0,0
418,17,2,2,0,2944.0,0.0,1,7
231,6,1,2,0,31.0,0.0,0,0
667,17,65296,2,2,62.0,94.0,0,0
365,17,110151,4,0,1446.0,0.0,1,3
335,17,1,2,0,458.0,0.0,1,6
921,17,2,2,0,2944.0,0.0,1,7
450,17,2,2,0,2944.0,0.0,1,4
174,6,1,2,0,0.0,0.0,1,2
388,17,47,2,0,458.0,0.0,1,6
557,17,1,2,0,956.0,0.0,1,4
689,17,20630,2,2,50.0,212.0,0,0
23,6,5006073,8,7,1476.0,2146.0,1,5
758,6,54769,1,1,0.0,0.0,0,0
831,17,20967,2,2,74.0,186.0,0,0
795,17,11,4,0,804.0,0.0,1,0
136,17,20657,2,2,84.0,140.0,0,0
13,6,186,1,1,0.0,0.0,0,5
560,17,1,2,0,1774.0,0.0,1,4
277,17,2,2,0,2944.0,0.0,1,7
271,17,1,2,0,2744.0,0.0,1,7
514,17,97721,200,0,88000.0,0.0,1,1
452,6,5970937,12,9,1920.0,4290.0,1,5
755,17,1,2,0,458.0,0.0,1,6
507,17,108843,4,0,1438.0,0.0,1,3
765,17,19153,90,0,39600.0,0.0,1,1
275,17,1,2,0,738.0,0.0,1,3
689,17,1,2,0,894.0,0.0,1,4
512,6,165,1,1,0.0,0.0,1,5
380,6,218,1,1,0.0,0.0,1,5
753,17,1,2,0,458.0,0.0,1,6
255,6,48,2,0,0.0,0.0,1,2
48,17,63447,200,0,88000.0,0.0,1,1
425,6,1082,1,3,0.0,0.0,1,5
663,17,1,2,0,494.0,0.0,1,6
566,6,166,1,2,0.0,0.0,1,5
181,6,104442680,12,0,0.0,0.0,1,2
258,6,66552,7,2,930.0,0.0,0,0
871,6,48,2,0,0.0,0.0,1,2
195,17,1,2,0,422.0,0.0,1,6
512,17,1,2,0,1078.0,0.0,1,4
553,6,1,2,0,0.0,0.0,1,2
10,6,10752566,5,6,4.0,62.0,0,0
696,6,55522,1,3,0.0,0.0,0,0
683,6,1,2,0,0.0,0.0,1,2
640,17,880772,18,0,6600.0,0.0,1,3
134,17,31519,200,0,88000.0,0.0,1,1
965,17,20796,2,2,72.0,194.0,0,0
422,17,1,2,0,458.0,0.0,1,6
763,17,2,2,0,880.0,0.0,0,1
419,17,1,2,0,766.0,0.0,1,3
917,17,47,2,0,458.0,0.0,1,6
370,17,20608,2,2,64.0,256.0,0,0
653,17,1,2,0,750.0,0.0,1,3
61,17,1,2,0,458.0,0.0,1,6
228,17,1,2,0,738.0,0.0,1,3
552,6,208,1,1,0.0,0.0,1,5
430,17,37753,194,0,85360.0,0.0,1,1
328,17,64668,200,0,88000.0,0.0,1,1
836,6,115,1,2,0.0,0.0,0,5
661,17,1,2,0,840.0,0.0,1,4
975,17,1,2,0,458.0,0.0,1,6
481,6,5008603,8,7,770.0,2146.0,1,5
129,17,1,2,0,2944.0,0.0,1,4
887,17,1,2,0,750.0,0.0,1,3
391,17,1,2,0,1110.0,0.0,1,4
163,6,176,1,1,0.0,0.0,1,5
703,6,79,1,2,0.0,0.0,0,5
223,6,40930,1,1,0.0,0.0,0,0
973,17,1,2,0,914.0,0.0,1,4
380,17,3,2,0,2944.0,0.0,1,7
247,6,31452992,6,4,0.0,0.0,1,5
167,17,51689,200,0,88000.0,0.0,1,1
219,6,63578,1,1,0.0,0.0,0,0
187,17,42117,200,0,88000.0,0.0,1,1
241,17,1,2,0,878.0,0.0,1,4
868,17,1,2,0,778.0,0.0,1,3
321,17,3,2,0,2944.0,0.0,1,7
218,6,59467,1,1,0.0,0.0,0,0
862,6,182,1,1,0.0,0.0,1,5
10,6,48,2,0,0.0,0.0,1,2
811,6,175,1,1,0.0,0.0,1,5
308,17,20582,2,2,62.0,158.0,0,0
767,17,25580,90,0,39600.0,0.0,1,1
860,17,1,2,0,854.0,0.0,1,4
875,17,1,2,0,766.0,0.0,1,3
381,6,99,1,2,0.0,0.0,0,5
837,17,1,2,0,1132.0,0.0,1,4
239,17,2,2,0,2944.0,0.0,1,7
873,17,2,2,0,2740.0,0.0,1,4
591,17,1,2,0,458.0,0.0,1,6
751,17,1,2,0,802.0,0.0,1,3
936,6,5974202,12,9,1658.0,4290.0,1,5
149,17,20664,2,2,58.0,166.0,0,0
256,17,59514,200,0,88000.0,0.0,1,1
385,6,0,2,0,31.0,0.0,0,0
328,6,117183184,26,21,1834.0,6384.0,0,0
493,17,110755,4,0,1446.0,0.0,1,3
506,17,1,2,0,766.0,0.0,1,3
39,17,1,2,0,2724.0,0.0,1,7
310,17,1,2,0,750.0,0.0,1,3
345,6,10175369,5,2,0.0,0.0,1,5
938,17,2,2,0,900.0,0.0,1,4
455,17,2,2,0,2944.0,0.0,1,7
197,6,72,1,2,0.0,0.0,1,5
356,17,20613,2,2,62.0,94.0,0,0
313,17,20674,2,2,50.0,178.0,0,0
57,17,1,2,0,738.0,0.0,1,3
338,6,5331599,12,9,1742.0,4290.0,1,5
836,17,1,2,0,816.0,0.0,1,4
116,6,96469710,12,2,0.0,0.0,1,2
393,6,111,1,2,0.0,0.0,1,5
